year,prov,hh_inc,pop,urban,unemp
2013,Northwest territories including Nunavut,51624.6,79.2,57.1,10.3
2013,Northwest territories,60128.4,43.8,63.9,8
2013,Nunavut,41113.7,35.4,48.5,14.2
2013,All provinces,5363.5,4334.4,15.7,2.7
2013,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",2189.4,5013.6,17.8,2.1
2014,Newfoundland and Labrador,44933.1,528.4,57.9,12
2014,Prince Edward Island,37199.7,145.9,44.5,10.5
2014,Nova Scotia,39732.2,942.2,57,8.9
2014,New Brunswick,38908.2,754.7,48.6,9.9
2014,Quebec,39865.3,8210.5,80.3,7.8
2014,Ontario,43134,13680.4,86,7.3
2014,Manitoba,39557.8,1280.9,72.9,5.4
2014,Saskatchewan,45901.5,1120.6,66,3.8
2014,Alberta,56510.3,4108.4,83.2,4.7
2014,British Columbia,43292.7,4646.5,86.2,6.1
2014,"Yukon, Northwest territories, Nunavut",54089.5,116.8,NA,8.3
2014,Yukon,56414.2,36.8,60.3,4.3
2014,Northwest territories including Nunavut,53018.7,79.9,57.1,10.4
2014,Northwest territories,61891.6,43.9,64,8.3
2014,Nunavut,42227,36.1,48.7,13.9
2014,All provinces,5552.1,4374.7,15.7,2.7
2014,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",2220.2,5059.5,17.7,1.9
2015,Newfoundland and Labrador,46604.2,528.8,58,12.8
2015,Prince Edward Island,38265.3,146.8,44.8,10.4
2015,Nova Scotia,41036.8,941.5,57.2,8.6
2015,New Brunswick,40007,753.9,48.8,9.7
2015,Quebec,41191.7,8254.9,80.4,7.6
2015,Ontario,45053.7,13789.6,86.1,6.8
2015,Manitoba,41466.8,1295.4,73,5.6
2015,Saskatchewan,48070.5,1131.2,66.4,5
2015,Alberta,57909.1,4177.5,83.4,6
2015,British Columbia,45411.2,4694.7,86.3,6.1
2015,"Yukon, Northwest territories, Nunavut",56065.9,118.1,NA,9.4
2015,Yukon,58355,37.3,60.4,5.8
2015,Northwest territories including Nunavut,55009.8,80.8,57.1,11.3
2015,Northwest territories,64594.9,44.2,64,8.4
2015,Nunavut,43433.1,36.6,48.8,16.1
2015,All provinces,5669.7,4409,15.6,2.5
2015,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",2594.7,5098.6,17.6,1.8
2016,Newfoundland and Labrador,47589.6,530.3,58.1,13.4
2016,Prince Edward Island,39505.7,149.5,45.1,10.7
2016,Nova Scotia,41826.1,948.6,57.4,8.4
2016,New Brunswick,41602.4,757.4,49,9.6
2016,Quebec,42200.8,8321.9,80.5,7
2016,Ontario,46047.5,13976.3,86.2,6.6
2016,Manitoba,41890.1,1318.1,73.2,6.1
2016,Saskatchewan,47258.9,1148.6,66.8,6.4
2016,Alberta,54260.8,4236.4,83.6,8.1
2016,British Columbia,46905,4757.7,86.4,6
2016,"Yukon, Northwest territories, Nunavut",57007,119.9,NA,8.8
2016,Yukon,59365.6,38.1,60.6,5.6
2016,Northwest territories including Nunavut,55908.7,81.8,57.1,10.4
2016,Northwest territories,65064.9,44.6,64.1,7.4
2016,Nunavut,44920.2,37.2,49,15.1
2016,All provinces,4365.6,4464.2,15.6,2.4
2016,"All provinces excluding Alberta, Saskatchewan and Newfoundland and Labrador",2639.4,5162.6,17.6,1.8
